IMO,MMSI
9580170,432778000
8980361,431200628
9459797,432655000
9523689,432681000
9523706,432746000
9162148,431330000
9113836,431694000
9729659,431117000
9272840,432743000
9234197,431195000
9243722,432301000
9203033,431300812
9669952,432889000
9445344,438036000
9445356,438035900
9314519,563558000
9756171,271044091
9756195,271044214
9756183,438065000
9762974,271044275
9524279,438035800
7404839,436000159
9133886,436000006
8709705,436000295
9741217,538006422
9741229,564711000
9252084,436000090
9190121,436000004
9190145,436000303
8959879,436000148
9552616,434116100
9560118,436000143
9560120,436000144
9560132,436000168
9618393,436000175
9618410,436000176
9263083,436000017
9358333,436000306
9358345,436000036
9400253,436000296
9400241,436000297
9074872,447003000
9438133,566057000
9675901,447213000
9676034,447207000
9676058,447209000
9675913,447214000
9675975,447201000
9676046,447208000
9675999,447203000
9676008,447204000
9675987,376906000
9676010,264402001
9367487,275355000
9444584,275438000
9679775,275435000
8521127,275445000
9190432,277150000
9315422,275305000
9378747,275347000
9389655,275353000
9219599,275057000
9412919,576948000
9571002,273351050
9570993,273350050
9701102,636016809
9474462,636014532
9513957,413475990
9350575,636013037
8028448,636009961
9349100,413470160
8219619,636010226
8407577,636011686
8201404,636009882
8601587,636016347
8501103,636017375
9556765,565670000
9250012,563148000
9214939,538005380
8119601,231019000
9007142,219266000
9007166,219319000
9697117,470725000
9371555,533130177
9427744,636014265
9427756,636014266
9190494,308433000
9047025,311559000
7529952,636011900
9427756,636014266
9427744,636014265
9315331,636015103
9546954,376832000
9588938,533002980
9752008,377585000
7920405,277148000
9550917,277421000
7237262,277149000
9166534,277461000
9751999,376469000
9534731,277385000
9568847,277425000
9729154,376472000
9513505,253379000
9394600,253038000
9568392,228022800
9546552,253177000
9562362,253434000
9394648,253425000
9394650,253431000
9579597,253462000
9573517,253499000
9573529,253498000
9573531,253497000
9573555,253526000
9573567,253512000
9573579,253527000
9619036,253027000
9619050,253013000
9619062,253329000
9619086,253058000
9619139,376899000
9619165,563279000
9513517,253187000
9513543,228022700
9558634,253405000
9558622,253410000
9394636,253088000
9562374,253430000
9394674,228063700
9546576,253472000
9394698,253478000
9573608,253516000
9573610,253538000
9390082,253123000
9751456,253225000
9375379,371174000
9375408,370224000
9421207,372833000
9477012,533130239
9477024,533130253
9270634,563067000
9619141,533130997
9492024,533001370
9394595,533052200
9494888,533130901
9657935,564934000
9565857,533056500
9565845,533056400
9303637,533000280
9587271,533000833
9529281,533880000
9664756,533130937
9664768,533130957
9324253,533932000
9373022,533943000
9543213,533049100
9494711,533876000
9429900,533045000
9297266,533000086
9337559,533000122
9529205,533042700
9390056,253158000
9414864,533800000
9397133,533000501
9376804,533784000
9376579,533000456
9328821,533569000
9375276,533785000
9379179,533000458
9449479,533628000
9308314,533760000
9330886,563254565
9317884,533170248
9413597,533000527
9413602,533000528
9499008,533000723
9555553,533000883
9553531,533000898
9605475,533170089
9357250,533796000
9527398,533648000
9507324,533000727
9535450,533698000
9535462,533570000
9545120,563891000
9467524,533020600
9551430,533000295
9501435,533000299
9501459,533000294
9501485,566273000
9715256,563029020
9715268,563029620
9370604,533000296
9275464,563303000
9275476,563309000
9370616,533000297
9111967,533045600
9111979,533045700
9277125,533001700
9315094,533001800
9296004,533001900
9521253,533180001
9342994,533002100
9489455,533130279
9578828,566795000
9724415,566099000
9537082,533045200
9562269,533046400
9688788,533130174
9577800,533000483
9728588,533130313
9603180,533060700
9585821,533000485
9688104,533130136
9430545,533000478
9585833,533000486
9626649,533000491
9603178,533060400
9610511,533000489
9577812,533000484
9728590,533130369
9296016,533909000
